"richness","abundance","hill1"
3,3606,NA
3,8083,1.60884574016282
3,11700,NA
3,18166,NA
5,8307,1.95208225465495
5,11136,NA
5,12076,NA
5,12262,NA
5,17174,NA
6,1946,2.30459722735029
6,8557,2.12921596755161
6,14474,NA
7,2583,2.49434619896689
7,4207,2.41350581387199
9,5839,2.77525621136385
9,15015,NA
10,7941,2.9168542776812
11,1866,3.59309133733235
11,3447,3.37146526051378
11,15583,2.97484404747787
11,16198,2.96747415849177
13,347,5.35239562243336
13,13311,3.40375038673841
13,13991,3.39116168308622
13,15796,3.35993363876946
14,1396,4.61302361169733
14,2014,4.3788677607718
14,8693,3.74799420729448
14,12845,NA
15,1384,4.94204863438807
15,5074,4.19475511695177
15,18892,3.70343703236981
16,2598,4.82274671389019
16,13726,4.01495813614812
17,6219,4.59569544639477
17,9296,4.39732190674357
17,16821,4.1541596309981
18,1228,6.03661369083866
18,6337,4.8315212379545
18,7840,4.71831851363703
19,1904,5.96357528278304
19,7475,4.99035473659532
19,8851,4.89615430584429
19,13962,4.66722161883117
20,5875,5.38120918598312
20,7559,5.23031384334009
20,10243,5.05387379496769
20,13832,4.89459817573858
20,18295,4.75617349507009
22,4635,6.09834231676202
22,8924,5.61488471852065
22,9164,5.59212211183525
22,10652,5.50562330377927
22,15725,5.27601068395398
22,16256,5.25804151460994
22,19128,5.16935515742082
23,4607,6.37405951957963
23,9329,5.8363425517172
23,18238,5.41367524705108
25,2244,7.73566863802583
26,6774,6.86827199782813
26,9708,6.5634701778944
26,12537,6.36317604529375
26,17697,6.11894377054068
27,4324,7.58644366179234
27,8067,6.9908841578947
27,16545,6.39062196996022
27,17071,6.36976151202111
28,9046,7.13066903360628
28,19882,6.49012777154546
29,7616,7.56458831973035
29,15535,6.9221325898389
29,18518,6.77917309361908
30,3293,8.85162043403043
31,4417,8.76575837500317
31,12363,7.60620238211559
31,16612,7.33501202671367
32,19680,7.42656529459086
33,516,14.074093299106
35,11252,8.74336696033149
35,11453,8.71492234715567
35,17572,8.25498576131525
36,3667,10.5811086023785
36,14579,8.70421483492013
37,1801,12.3271234011484
37,2188,11.9955275786642
37,10913,9.29997297498409
37,14211,8.98117444788547
39,1728,13.2166874335028
39,2073,12.8269758872502
39,3558,11.6405821083075
40,336,19.8600486095552
40,5884,11.0440964728707
41,15824,9.87182205468439
42,5600,11.7431132066121
42,16161,10.0935596305249
43,13765,10.5809828531389
43,14401,10.5228201623166
43,18575,10.1687562717797
44,6804,11.9971064430584
46,5237,13.1293030488921
46,7170,12.4787035380683
46,14215,11.3229067364518
46,14378,11.303348182544
46,15666,11.1714394748166
47,1398,17.1330129964082
47,9515,12.261431304305
48,1343,17.6952019988613
48,3795,14.5013183764748
49,2729,15.759346727271
49,12174,12.3691255945065
49,12509,12.32342073375
49,13869,12.1451359816547
50,2507,16.4101235696614
50,5576,14.2658302213446
50,16825,12.0976484581545
51,4335,15.1923201235861
51,4758,14.9514565782795
52,16868,12.6191212401188
53,2615,17.4516835829435
54,4819,15.8965953198608
54,6457,15.1434192196819
56,4176,16.9810003231778
56,10097,14.7135953468108
57,14496,14.2385421507533
58,2537,19.3662556398126
58,2985,18.824653902514
58,11196,15.0616368099316
59,1965,20.8221692637572
59,18017,14.3315022334062
60,7354,16.7099734681996
60,7755,16.5584274708701
60,16779,14.7472747802418
61,16807,15.0028501467753
61,17623,14.9208989432833
63,7590,17.5521181363345
64,8124,17.6537494012619
64,11357,16.7674359408162
65,569,31.554423473814
66,13443,16.9017388379205
67,9784,18.0335628004997
68,6068,19.8319436996423
68,6426,19.644344700745
68,13268,17.5211052653634
68,15295,17.1424231863359
69,6539,19.9412702610431
69,8032,19.2297283499412
69,8627,19.0259587750378
70,1412,27.438233289565
71,2870,23.9320289765885
72,10060,19.455969263596
72,18236,17.790914798702
74,9119,20.4069709849297
74,9765,20.1620364761125
74,12459,19.4109404890868
74,19829,18.124184928724
75,1415,29.8282012862308
75,7262,21.4902521597157
75,13585,19.4487401256333
76,622,37.46252798244
76,3614,24.7254180528024
76,12412,20.025778159771
77,19722,18.9515869458573
78,6804,22.7449162148742
79,3663,25.9223043665294
79,5495,23.941366614276
79,19593,19.5138411612306
80,1204,33.5282266782493
80,3512,26.422966782195
80,18111,20.0173745778163
81,1203,33.9849861858161
81,1384,32.7214797106514
81,12060,21.579377315552
82,7739,23.5562778308541
82,8817,23.0274379942126
82,18322,20.52986290317
83,274,54.0321375975589
83,15466,21.344055537621
84,12055,22.4938613201708
85,291,54.9170322907357
85,13244,22.457320333887
85,15094,21.9859313662712
85,17249,21.5643376608894
86,3660,28.5226359001893
86,4986,26.8972690790027
86,18649,21.590342795313
87,3046,30.0254000349019
87,12231,23.3370035270004
87,19782,21.68229994307
88,11573,23.84765663477
88,18653,22.1600462704984
91,664,46.2044709407215
91,3691,30.435871770584
91,19794,22.7946375507609
92,11162,25.241559697437
92,19040,23.2021129177218
92,19130,23.1729804289434
93,8149,26.9395219214178
93,12079,25.2264649148969
93,14180,24.577904789592
93,19632,23.3779425025391
94,9503,26.5639804214771
95,13203,25.4349028197766
95,18211,24.2217258422563
96,11486,26.3726178031716
96,12510,25.9800678014744
96,17237,24.7114253826039
96,18927,24.3647400083121
97,9863,27.3598911693915
98,5623,30.6152367783873
98,13513,26.2821503451152
98,15152,25.8146032821968
98,15521,25.6971139980106
99,8719,28.5776388760077
100,227,74.0675807201967
100,2985,35.5887403692656
101,2654,36.8941211942578
101,7683,29.9026024500433
102,644,53.9053105103472
102,2231,38.9106976750922
102,12209,27.9508851249519
103,3078,36.6515010011093
103,8520,30.07575082142
103,11244,28.6395756073734
104,1793,41.9784491689339
104,8309,30.513483971197
104,8566,30.3243647394304
104,11389,28.8955253949627
105,2242,40.1465277624269
105,9620,30.095045396612
106,3787,36.2453694477637
106,17980,27.4399037308283
107,4660,35.1727405299439
107,5545,33.9470244445502
107,8288,31.5255840720082
107,9882,30.5860293451134
107,14917,28.5905918002014
108,270,76.9516698086555
108,6012,33.8538840704715
108,13298,29.404886029496
109,268,78.2143035417706
109,5750,34.5046617349464
109,8522,32.0462230392201
110,325,73.9213235742692
110,14331,29.6597396432747
111,17693,28.9635043546317
112,1647,46.8461618681596
112,12287,31.0449582772995
112,17978,29.203498777884
112,19040,28.9129799708689
113,9702,32.6637036180945
113,15104,30.3115845490892
113,16643,29.8486032335378
113,17521,29.5943160719834
114,2506,43.3746081163238
114,5218,37.0876341769633
114,8312,33.91518100939
114,16062,30.3172810674156
115,8424,34.1592439144608
116,3649,40.7828369989246
117,3509,41.4539172647386
117,18079,30.6638324149125
118,15771,31.6324849963582
119,3049,43.6264505612344
119,11934,33.4308889362425
119,16163,31.8024640017888
120,4273,40.9801886662659
120,10262,34.632785982257
120,11017,34.2424255335302
121,6485,38.0500421409659
122,8572,36.4952653932821
122,14348,33.3540874290814
122,14863,33.1750625277559
122,15705,32.8701079301834
124,4923,41.3939157883363
124,6833,38.8317627985484
125,7256,38.7247241164349
125,10523,36.1882485435555
125,13580,34.6238387247391
125,16264,33.5836924862208
126,688,69.4686081571131
126,9840,36.9838033543348
127,19143,33.3410392862239
128,6109,41.1020677614382
128,16041,34.6206345033895
129,3621,46.2754322880073
129,7622,39.777124420473
129,7729,39.621919578117
129,13423,35.9461784130043
129,17763,34.3492453669248
130,12496,36.7316540308933
130,16693,34.9878921128535
131,13661,36.4752981263541
131,15569,35.7005547454324
131,18465,34.7125625668244
131,18821,34.6352203520747
132,10258,38.713776511977
133,18616,35.3020995030184
135,14944,37.1917465279901
135,17053,36.3889836458726
136,1752,58.7211001039565
136,2166,55.6749944096497
136,2514,53.742700382131
136,19579,35.8875333210785
137,9776,40.7482755606856
137,13632,38.406173523136
138,2871,52.9304889432548
139,7203,43.9235046802809
139,16036,38.0048045439421
140,4967,47.6990389829275
140,18041,37.5784584559736
141,7871,43.9187651268546
142,10964,41.5989880886744
143,1313,67.4215687953852
144,4078,51.4612252460894
144,16329,39.461515285236
144,18466,38.6753462902865
145,1888,62.3184460632286
145,2003,61.4311588296308
145,9418,43.8552069482498
146,3935,52.8255126463672
146,12058,42.2399333658486
146,14711,40.8423286454382
146,15314,40.5488247201952
147,7646,46.3537711796021
148,7936,46.4031084597169
148,8493,45.8172310934745
149,7396,47.3992637180941
149,9725,44.9713515962388
149,11305,43.8065067106345
149,11732,43.4516686334157
150,5018,51.6917860889513
150,9767,45.3209082087279
150,10413,44.8259699376032
151,14893,42.3589076820628
151,16386,41.6504405760793
151,16918,41.4167885863579
152,11469,44.698282140955
154,3753,56.8522743950854
154,12217,44.8672046316475
154,14335,43.5945313016243
155,2564,62.6924181702224
155,4476,55.1837727113082
155,6730,50.5813684790666
155,14006,44.0896031658553
156,603,95.9941988598714
156,7605,49.7823159018977
156,7692,49.6517697129397
156,11624,45.9182854187512
156,14779,44.0123721521156
157,5777,52.976426533834
157,7056,50.9104860371563
158,1042,82.0220993391173
158,17761,43.283295987396
159,5260,54.8312863195052
159,6207,52.992893150559
159,13516,45.7176985808211
160,12579,46.6190509715057
161,10298,48.7608520987405
162,3765,60.3846207970051
162,8301,51.1525312457367
163,17188,45.1202102402885
163,18103,44.7557778983441
164,3805,61.1642778285539
165,381,120.674028440198
165,5047,57.9155528393036
165,6257,55.2826132010382
165,7191,53.7720240060218
165,13529,47.7369112390212
166,13336,48.1618810611223
166,14770,47.2670073071074
166,18154,45.6572209716496
167,3929,62.0553957828622
167,19630,45.3302573185275
168,17897,46.3998887642222
170,7715,54.8866010668379
171,12154,50.6940642308805
171,14155,49.3151170380742
171,14341,49.1978106341134
171,14511,49.0906062330461
172,2517,71.7199067785157
172,6990,56.7249923888923
172,14735,49.2797755856752
173,14259,49.9601366816538
174,8731,55.0287459383868
175,12842,51.5798852288407
176,6481,59.287872737696
176,13165,51.6595962322222
176,19805,48.1029120161216
177,4232,65.4283560605814
177,19232,48.6596226278617
178,4857,63.9478769467631
178,6226,60.6359415020899
178,17145,49.9658283971391
178,17983,49.5526580177731
179,7919,58.0944162091626
179,17649,49.9887210754164
180,4916,64.6510931784366
180,6389,61.0939979294929
180,7106,59.7671462537526
180,14658,52.0114921950004
180,18272,49.9919385733144
181,9751,56.4820684852388
181,13306,53.3182507251193
181,14081,52.7688531654373
181,14140,52.7322714296308
181,17049,50.9887365799758
183,2881,74.7812473837116
183,2920,74.4046563306518
183,3915,69.4803645597042
183,6688,61.6812065098065
184,8856,58.6349682937772
184,12715,54.7340680964039
185,11343,56.2772075559599
185,13864,54.2192142549828
185,19376,51.1505221270508
186,17165,52.5513673061886
187,6569,63.5152552384929
187,7798,61.416639491603
187,12777,55.7347812267094
189,2006,85.570451583311
189,9964,59.193343949603
189,13849,55.6033077738959
189,15030,54.7957918411111
191,18314,53.5912835308101
192,4385,71.6555256099033
192,12259,57.9609652824327
192,18673,53.7012783836725
193,7985,63.3751529120801
193,17061,54.9279174798172
194,2560,82.8418379081877
194,7026,65.5179241674433
194,12793,58.1837066724132
196,10316,61.372004000713
196,12312,59.3332342587621
197,3982,75.6595722456309
197,7744,65.2910587519826
198,3541,78.246744561288
200,11334,61.709790276943
